name,brand,category,price_category,current_price,original_price,savings_amount,discount_percent,value_score,rating,num_reviews,has_reviews,num_straps,bluetooth_calling,amoled_display,water_resistant,express_delivery,scraped_date,dataset_version
MK-S200 7in1 Smart Watch 2025 Edition,Generic,Standard Smartwatch,Budget,1549,2500,951,38.0,23.31,0.0,0,0,7,0,0,0,0,2026-01-16,1.0
Mk-X40 8in1 Smart Watch With Airpods,Generic,Smartwatch + Accessories,Budget,1999,2500,501,20.0,5.01,0.0,0,0,8,0,0,0,0,2026-01-16,1.0
Crown Q600 7+1 Series 10 Smart Watch,Crown,Standard Smartwatch,Budget,1399,2200,801,36.0,20.6,0.0,0,0,7,0,0,0,0,2026-01-16,1.0
Crown S600 Ten Plus One Smart Watch With Airpods,Crown,Smartwatch + Accessories,Budget,1999,3400,1401,41.0,28.72,0.0,0,0,1,0,0,0,0,2026-01-16,1.0
Login L-107 Prism Smart Watch,Login,Standard Smartwatch,Premium,9499,14999,5500,37.0,21.42,0.0,0,0,1,0,0,0,1,2026-01-16,1.0
Urpin UW-100 Infinity 8+1 Smart Watch,Generic,Standard Smartwatch,Mid-Range,2749,4999,2250,45.0,36.82,0.0,0,0,8,0,0,0,0,2026-01-16,1.0
Watch Ultra 3 (7+1 ) Deluxe Edition Smart Watch,Generic,Standard Smartwatch,Budget,1449,2300,851,37.0,21.72,0.0,0,0,7,0,0,0,0,2026-01-16,1.0
DT108 Sport Smart Watch,Generic,Sport/Outdoor Watch,Mid-Range,3399,6200,2801,45.0,37.07,0.0,0,0,1,0,0,0,0,2026-01-16,1.0
MK-X50 7in1 Smart Watch,Generic,Standard Smartwatch,Budget,1549,2500,951,38.0,23.31,0.0,0,0,7,0,0,0,0,2026-01-16,1.0
JS Watch 8 Classic Smart Watch,Generic,Standard Smartwatch,Premium,5499,10400,4901,47.0,41.88,0.0,0,0,1,0,0,0,1,2026-01-16,1.0
V19 Pro Hyper Smart Watch,Generic,Standard Smartwatch,Budget,1699,2800,1101,39.0,25.26,0.0,0,0,1,0,0,0,0,2026-01-16,1.0
ZT-08 With Double Straps Smart Watch,Generic,Standard Smartwatch,Mid-Range,2499,4400,1901,43.0,32.7,0.0,0,0,1,0,0,0,0,2026-01-16,1.0
Apple Watch SE 3 40mm GPS (2025),Apple,Mid-Range Watch,Luxury,82499,99000,16501,17.0,3.4,0.0,0,0,1,0,0,0,1,2026-01-16,1.0
Watch Ultra 3 7in1 Smart Watch,Generic,Standard Smartwatch,Budget,1449,2300,851,37.0,21.72,0.0,0,0,7,0,0,0,1,2026-01-16,1.0
Ultra 3 7in1 Smart Watch,Generic,Standard Smartwatch,Budget,1449,2300,851,37.0,21.72,0.0,0,0,7,0,0,0,0,2026-01-16,1.0
Watch 7 Max Smart Watch,Generic,Standard Smartwatch,Mid-Range,2699,4800,2101,44.0,34.24,0.0,0,0,1,0,0,0,1,2026-01-16,1.0
W10 Mini Five Straps Smart Watch,Generic,Standard Smartwatch,Mid-Range,2399,4200,1801,43.0,32.27,0.0,0,0,1,0,0,0,0,2026-01-16,1.0
ZT-068 Smart Watch,Generic,Standard Smartwatch,Budget,1499,2800,1301,46.0,39.9,0.0,0,0,1,0,0,0,0,2026-01-16,1.0
Series 10 Seven Plus Two Smart Watch,Generic,Standard Smartwatch,Budget,1999,3400,1401,41.0,28.72,0.0,0,0,1,0,0,0,1,2026-01-16,1.0
Series 10 7 in 1 Strap Smart Watch,Generic,Standard Smartwatch,Budget,1399,2200,801,36.0,20.6,0.0,0,0,7,0,0,0,0,2026-01-16,1.0
Ultra Smart Watch With 7 Straps,Generic,Standard Smartwatch,Budget,1459,8000,6541,82.0,367.37,4.7,0,0,7,0,0,0,1,2026-01-16,1.0
Ultra Smart Watch With 10 Straps,Generic,Standard Smartwatch,Budget,1799,6000,4201,70.0,163.37,4.7,0,0,10,0,0,0,1,2026-01-16,1.0
I20 Ultra Smart Watch With Earbuds And 7 Straps,Generic,Smartwatch + Accessories,Budget,1899,8000,6101,76.0,244.04,4.6,0,0,7,0,0,0,1,2026-01-16,1.0
X10 Pro Max Smart Watch,Generic,Standard Smartwatch,Budget,1549,3500,1951,56.0,70.49,4.6,0,0,1,0,0,0,1,2026-01-16,1.0
T900 Ultra 2 Smart Watch,Generic,Standard Smartwatch,Budget,1099,4000,2901,73.0,192.52,4.7,0,0,1,0,0,0,1,2026-01-16,1.0
Samsung Watch 8 Classic 46mm,Samsung,Premium Watch,Luxury,88499,139999,51500,37.0,21.53,0.0,0,0,1,0,0,0,1,2026-01-16,1.0
Samsung Galaxy Fit 3 (1 Year Brand Warranty),Samsung,Premium Watch,Premium,10999,16650,5651,34.0,17.47,5.0,0,0,1,0,0,0,1,2026-01-16,1.0
Zero Luna Smart Watch,Zero,Standard Smartwatch,Mid-Range,4799,21499,16700,78.0,271.38,4.7,0,0,1,0,0,0,1,2026-01-16,1.0
DT900 ULTRA Smart watch With 7 Straps,Generic,Standard Smartwatch,Budget,1699,8500,6801,80.0,320.05,4.7,0,0,7,0,0,0,1,2026-01-16,1.0
Huawei Watch Fit 4,Huawei,Fitness Band,Luxury,32299,59999,27700,46.0,39.45,5.0,0,0,1,0,0,0,1,2026-01-16,1.0
i10 Pro Max Series 9 Smart Watch,Generic,Standard Smartwatch,Budget,1299,4000,2701,68.0,141.28,4.5,0,0,1,0,0,0,1,2026-01-16,1.0
Apple Watch Series 11 46mm,Apple,Mid-Range Watch,Luxury,124999,160000,35001,22.0,6.16,3.0,0,0,1,0,0,0,1,2026-01-16,1.0
Kieslect Kr Calling Watch,Generic,Standard Smartwatch,Premium,9799,11999,2200,18.0,4.04,4.9,0,0,1,1,0,0,0,2026-01-16,1.0
Joyroom JR-FT5 Smart Watch,Generic,Standard Smartwatch,Premium,9949,10500,551,5.0,0.28,4.8,0,0,1,0,0,0,0,2026-01-16,1.0
T900 Ultra Smart Watch,Generic,Standard Smartwatch,Budget,1249,5999,4750,79.0,300.2,4.7,0,0,1,0,0,0,1,2026-01-16,1.0
HW8 Ultra Max Bluetooth Smart Watch,Generic,Standard Smartwatch,Premium,5299,7499,2200,29.0,12.04,4.7,0,0,1,0,0,0,1,2026-01-16,1.0
WK8 Ultra Smart Watch,Generic,Standard Smartwatch,Mid-Range,2799,6799,4000,59.0,84.29,5.0,0,0,1,0,0,0,1,2026-01-16,1.0
X8 Ultra Max Bluetooth Calling Watch,Generic,Standard Smartwatch,Premium,5699,6999,1300,19.0,4.33,5.0,0,0,1,1,0,0,1,2026-01-16,1.0
Joyroom Smart Watch (JR-FT6),Generic,Standard Smartwatch,Premium,13599,17000,3401,20.0,5.0,0.0,0,0,1,0,0,0,0,2026-01-16,1.0
Faster NERV Smart Watch 3 Pro,Generic,Standard Smartwatch,Premium,10499,19999,9500,48.0,43.43,0.0,0,0,1,0,0,0,1,2026-01-16,1.0
Tk300 Ultra 8 in 2 Smart Warch,Generic,Standard Smartwatch,Mid-Range,3199,4900,1701,35.0,18.6,0.0,0,0,1,0,0,0,0,2026-01-16,1.0
Gen 9 Pro 2 Ladies Smart Watch With 7 Straps,Generic,Ladies Smartwatch,Mid-Range,3299,8500,5201,61.0,96.14,4.5,0,0,7,0,0,0,1,2026-01-16,1.0
XINJI COBEE C1 Pro Smart Watch Bluetooth Calling IP68 Waterproof,Generic,Standard Smartwatch,Premium,7500,11500,4000,35.0,18.66,0.0,0,0,1,1,0,1,1,2026-01-16,1.0
Xinji N3 Smartwatch Ultra-Thin 1.43'' AMOLED,Generic,Standard Smartwatch,Premium,12999,19000,6001,32.0,14.77,0.0,0,0,1,0,1,0,1,2026-01-16,1.0
Xinji Nothing N1 Smart Watch AMOLED Display,Generic,Standard Smartwatch,Premium,10999,18000,7001,39.0,24.82,0.0,0,0,1,0,1,0,1,2026-01-16,1.0
JS50 Pro Max Luxury Smart Watch,Generic,Luxury Smartwatch,Premium,6299,9999,3700,37.0,21.73,0.0,0,0,1,0,0,0,1,2026-01-16,1.0
Z57 Round Bezzel Working Smart watch,Generic,Standard Smartwatch,Mid-Range,2999,6900,3901,57.0,74.12,5.0,0,0,1,0,0,0,1,2026-01-16,1.0
HX08 Smart Watch,Generic,Standard Smartwatch,Mid-Range,3599,6500,2901,45.0,36.26,5.0,0,0,1,0,0,0,1,2026-01-16,1.0
D15 GS Luxury Smart Watch,Generic,Luxury Smartwatch,Mid-Range,2149,6000,3851,64.0,114.63,0.0,0,0,1,0,0,0,0,2026-01-16,1.0
Pro 9 Ultra 2 2 in 1 Double Straps Smart Watch,Generic,Smartwatch + Accessories,Mid-Range,2799,6000,3201,53.0,60.59,0.0,0,0,2,0,0,0,1,2026-01-16,1.0
Choetech Touch Screen Smart Watch (WT001),Generic,Standard Smartwatch,Premium,7499,11999,4500,38.0,22.8,0.0,0,0,1,0,0,0,0,2026-01-16,1.0
T Watch X Series 10 Smart Watch,Generic,Standard Smartwatch,Budget,1549,3500,1951,56.0,70.49,0.0,0,0,1,0,0,0,1,2026-01-16,1.0
Mars LW-231 Smart Watch With LED Display,Generic,Standard Smartwatch,Premium,6399,9000,2601,29.0,11.79,0.0,0,0,1,0,0,0,0,2026-01-16,1.0
HiFuture FutureGo Pro Stainless-Steel Smartwatch with FHD Large Screen,Generic,Standard Smartwatch,Luxury,17999,22500,4501,20.0,5.0,0.0,0,0,1,0,0,0,1,2026-01-16,1.0
HiFuture ULTRA 3 Bluetooth Calling Smart Watch,Generic,Standard Smartwatch,Luxury,15299,17000,1701,10.0,1.11,0.0,0,0,1,1,0,0,0,2026-01-16,1.0
MG300 Bluetooth Smart Watch,Generic,Standard Smartwatch,Premium,5399,8000,2601,33.0,15.9,0.0,0,0,1,0,0,0,1,2026-01-16,1.0
Zero Icon Smart Watch,Zero,Standard Smartwatch,Premium,6499,16999,10500,62.0,100.15,0.0,0,0,1,0,0,0,1,2026-01-16,1.0
Blaktron Infiniti X1 Smart Watch,Generic,Standard Smartwatch,Premium,10299,12999,2700,21.0,5.5,0.0,0,0,1,0,0,0,0,2026-01-16,1.0
Blaktron Infiniti X2 Smart Watch,Generic,Standard Smartwatch,Premium,10299,12999,2700,21.0,5.5,0.0,0,0,1,0,0,0,0,2026-01-16,1.0
Active 2 7 in 1 Smart Watch,Generic,Standard Smartwatch,Mid-Range,2899,4999,2100,42.0,30.41,4.5,0,0,7,0,0,0,1,2026-01-16,1.0
Zero Edge Smart Watch,Zero,Standard Smartwatch,Premium,6399,19999,13600,68.0,144.5,0.0,0,0,1,0,0,0,1,2026-01-16,1.0
ZT-40 7 in 1 Smart Watch With Speaker Mic,Generic,Standard Smartwatch,Mid-Range,2499,4999,2500,50.0,50.0,0.0,0,0,7,0,0,0,1,2026-01-16,1.0
Crown S600 8 in 1 Smart Watch,Crown,Standard Smartwatch,Mid-Range,2299,4999,2700,54.0,63.39,0.0,0,0,8,0,0,0,1,2026-01-16,1.0
TLTM-M16 Series 10 with Double Strap Smart watch,Generic,Standard Smartwatch,Budget,1699,4250,2551,60.0,90.04,0.0,0,0,1,0,0,0,1,2026-01-16,1.0
Crown M60 Ultra 2 (10+1) Smart Watch with Earbuds,Crown,Smartwatch + Accessories,Budget,1999,6000,4001,67.0,134.03,0.0,0,0,10,0,0,0,1,2026-01-16,1.0
TLTM-M2000 Series 10 with Earbuds 10 in 1 Smart Watch,Generic,Smartwatch + Accessories,Mid-Range,2349,4499,2150,48.0,43.91,0.0,0,0,10,0,0,0,1,2026-01-16,1.0
Airox W3 Curve LED Smart Watch,Generic,Standard Smartwatch,Premium,5999,7999,2000,25.0,8.33,0.0,0,0,1,0,0,0,1,2026-01-16,1.0
HD30 Ultra 3 Smart Watch,Generic,Standard Smartwatch,Budget,1599,2999,1400,47.0,41.12,0.0,0,0,1,0,0,0,1,2026-01-16,1.0
Samsung Watch 8 44mm,Samsung,Premium Watch,Luxury,75499,149999,74500,50.0,49.34,5.0,0,0,1,0,0,0,1,2026-01-16,1.0
L16 Smart Watch,Generic,Standard Smartwatch,Budget,1749,3499,1750,50.0,50.0,5.0,0,0,1,0,0,0,1,2026-01-16,1.0
A68 Plus Ladies Smart Watch,Generic,Ladies Smartwatch,Mid-Range,2499,4400,1901,43.0,32.7,5.0,0,0,1,0,0,0,0,2026-01-16,1.0
HG300 Ultra 3 ( 7 in 1 ) Smart Watch,Generic,Standard Smartwatch,Budget,1749,2900,1151,40.0,26.31,0.0,0,0,7,0,0,0,0,2026-01-16,1.0
T24 Champion Edition 7 Straps Smart Watch,Generic,Standard Smartwatch,Mid-Range,2899,2899,0,0.0,0.0,0.0,0,0,7,0,0,0,0,2026-01-16,1.0
X10 Max Smart Watch,Generic,Standard Smartwatch,Budget,1449,2300,851,37.0,21.72,0.0,0,0,1,0,0,0,1,2026-01-16,1.0
MK-X300 Series 10 ( 7 in 1 ) Smart Watch,Generic,Standard Smartwatch,Mid-Range,2199,3800,1601,42.0,30.56,0.0,0,0,7,0,0,0,0,2026-01-16,1.0
SK51 Double Pair Straps Business Series Smart Watch,Generic,Standard Smartwatch,Premium,5799,11000,5201,47.0,42.15,0.0,0,0,1,0,0,0,1,2026-01-16,1.0
SK41 Double Strap Smart Watch,Generic,Standard Smartwatch,Premium,5999,11400,5401,47.0,42.31,0.0,0,0,1,0,0,0,0,2026-01-16,1.0
A99 Plus Ladies Smart Watch Gift Set,Generic,Ladies Smartwatch,Mid-Range,2599,4600,2001,44.0,33.86,0.0,0,0,1,0,0,0,1,2026-01-16,1.0
Huawei Watch Fit 4 Pro,Huawei,Fitness Band,Luxury,52999,70000,17001,24.0,7.7,0.0,0,0,1,0,0,0,0,2026-01-16,1.0
Oraimo Watch 6 OSW-807 SmartWatch,Generic,Standard Smartwatch,Mid-Range,4399,7000,2601,37.0,21.87,0.0,0,0,1,0,0,0,1,2026-01-16,1.0
Oraimo OSW-814L Watch Nova 2 Lite SmartWatch,Generic,Standard Smartwatch,Premium,7999,9999,2000,20.0,5.0,0.0,0,0,1,0,0,0,0,2026-01-16,1.0
Login L-102 Smart Watch,Login,Standard Smartwatch,Premium,6499,10999,4500,41.0,28.38,0.0,0,0,1,0,0,0,0,2026-01-16,1.0
Login L-101 Smart Watch,Login,Standard Smartwatch,Premium,7999,11999,4000,33.0,16.5,0.0,0,0,1,0,0,0,1,2026-01-16,1.0
Apple Watch Series 11 42mm,Apple,Mid-Range Watch,Luxury,119999,154999,35000,23.0,6.71,0.0,0,0,1,0,0,0,0,2026-01-16,1.0
Zero Armour Smart Watch,Zero,Standard Smartwatch,Premium,7499,22449,14950,67.0,133.55,4.8,0,0,1,0,0,0,1,2026-01-16,1.0
WS99 Ultra Smart Watch With Three Straps,Generic,Standard Smartwatch,Mid-Range,2699,5500,2801,51.0,52.91,5.0,0,0,1,0,0,0,1,2026-01-16,1.0
Amazfit T-Rex Ultra Smart Watch,Amazfit,Standard Smartwatch,Luxury,59999,90000,30001,33.0,16.5,5.0,0,0,1,0,0,0,0,2026-01-16,1.0
T500 Plus Max Series 7 Smart Watch,Generic,Standard Smartwatch,Budget,1299,3499,2200,63.0,106.62,4.0,0,0,1,0,0,0,1,2026-01-16,1.0
Zero Ultra Rugged Defender,Zero,Sport/Outdoor Watch,Premium,9499,21449,11950,56.0,70.44,4.9,0,0,1,0,0,0,0,2026-01-16,1.0
Mibro Smart Watch T2,Generic,Standard Smartwatch,Premium,10799,17000,6201,36.0,20.67,5.0,0,0,1,0,0,0,0,2026-01-16,1.0
M7 pro smart watch,Generic,Standard Smartwatch,Mid-Range,2699,4300,1601,37.0,21.94,0.0,0,0,1,0,0,0,1,2026-01-16,1.0
Xcess Pulse Ultra Smart Watch,Generic,Standard Smartwatch,Premium,5999,10000,4001,40.0,26.67,0.0,0,0,1,0,0,0,0,2026-01-16,1.0
S8 Ultra Max Plus Smart Watch,Generic,Standard Smartwatch,Mid-Range,4099,5000,901,18.0,3.96,0.0,0,0,1,0,0,0,1,2026-01-16,1.0
Y80 Ultra 8 in 1 Smart watch,Generic,Standard Smartwatch,Budget,1799,6000,4201,70.0,163.37,4.5,0,0,8,0,0,0,0,2026-01-16,1.0
HW23 Mini Women Smart Watch with Double Straps,Generic,Ladies Smartwatch,Premium,5799,9000,3201,36.0,19.87,4.7,0,0,1,0,0,0,1,2026-01-16,1.0
Z10 Ultra 9 in1 Smart Watch,Generic,Standard Smartwatch,Budget,1499,4000,2501,63.0,105.04,0.0,0,0,9,0,0,0,1,2026-01-16,1.0
WS-Z9 Series 9 Smart watch,Generic,Standard Smartwatch,Mid-Range,3399,7000,3601,51.0,54.02,4.7,0,0,1,0,0,0,1,2026-01-16,1.0
Ladies Smart Watch Generation 9 Max,Generic,Ladies Smartwatch,Mid-Range,4599,7000,2401,34.0,17.75,5.0,0,0,1,0,0,0,1,2026-01-16,1.0
Kieslect Smart Calling Watch Ks Mini,Generic,Standard Smartwatch,Premium,7999,12000,4001,33.0,16.5,0.0,0,0,1,1,0,0,0,2026-01-16,1.0
Zero Meta Smart Watch,Zero,Standard Smartwatch,Premium,6499,14000,7501,54.0,62.32,4.7,0,0,1,0,0,0,0,2026-01-16,1.0
Huawei Watch Fit 3,Huawei,Fitness Band,Luxury,24399,49999,25600,51.0,53.51,5.0,0,0,1,0,0,0,0,2026-01-16,1.0
s9 max series 9 smart watch,Generic,Standard Smartwatch,Budget,1299,2850,1551,54.0,64.43,5.0,0,0,1,0,0,0,1,2026-01-16,1.0
Gen 14 Smart Watch,Generic,Standard Smartwatch,Premium,5099,5800,701,12.0,1.65,4.0,0,0,1,0,0,0,1,2026-01-16,1.0
L20 ULTRA 2 SMARTWATCH,Generic,Standard Smartwatch,Budget,1549,3000,1451,48.0,44.93,0.0,0,0,1,0,0,0,1,2026-01-16,1.0
I30 Pro max Suit Smart Watch with Earbuds,Generic,Smartwatch + Accessories,Mid-Range,2999,4500,1501,33.0,16.51,4.6,0,0,1,0,0,0,1,2026-01-16,1.0
Zero Glory Smartwatch,Zero,Standard Smartwatch,Premium,7999,24999,17000,68.0,144.5,4.3,0,0,1,0,0,0,1,2026-01-16,1.0
S9 Ultra 2 Gold Edition Smart Watch,Generic,Luxury Smartwatch,Mid-Range,2649,4000,1351,34.0,17.33,0.0,0,0,1,0,0,0,0,2026-01-16,1.0
Zero Royale SmartWatch,Zero,Standard Smartwatch,Premium,11999,31999,20000,63.0,105.0,4.4,0,0,1,0,0,0,1,2026-01-16,1.0
Apple Watch SE 44mm,Apple,Mid-Range Watch,Luxury,74999,90000,15001,17.0,3.4,0.0,0,0,1,0,0,0,1,2026-01-16,1.0
AK99 Round Shaped Smart Watch,Generic,Standard Smartwatch,Mid-Range,3499,6500,3001,46.0,39.44,0.0,0,0,1,0,0,0,1,2026-01-16,1.0
W6 Watch 6 Classic Smart Watch,Generic,Standard Smartwatch,Mid-Range,3399,8900,5501,62.0,100.31,3.0,0,0,1,0,0,0,0,2026-01-16,1.0
GW20 Smart Watch,Generic,Standard Smartwatch,Mid-Range,4149,8500,4351,51.0,53.47,0.0,0,0,1,0,0,0,1,2026-01-16,1.0
T1000 Ultra Series 9 Smart Watch,Generic,Standard Smartwatch,Budget,1599,4000,2401,60.0,90.04,0.0,0,0,1,0,0,0,1,2026-01-16,1.0
T5 Pro Round Sport Smart Watch,Generic,Sport/Outdoor Watch,Mid-Range,4499,10500,6001,57.0,76.01,0.0,0,0,1,0,0,0,1,2026-01-16,1.0
KW09 Ultra 2 Smart Watch,Generic,Standard Smartwatch,Mid-Range,2049,4000,1951,49.0,46.63,0.0,0,0,1,0,0,0,1,2026-01-16,1.0
V2 Ultra Smart Watch with 4 Straps,Generic,Standard Smartwatch,Mid-Range,2599,4500,1901,42.0,30.71,0.0,0,0,4,0,0,0,1,2026-01-16,1.0
Google Pixel Watch 2,Generic,Standard Smartwatch,Luxury,78299,120000,41701,35.0,18.64,0.0,0,0,1,0,0,0,1,2026-01-16,1.0
Crown 10 + 1 Ultra Smartwatch,Crown,Standard Smartwatch,Mid-Range,2399,4500,2101,47.0,41.14,0.0,0,0,1,0,0,0,0,2026-01-16,1.0
X90 Bluetooth Smart Watch,Generic,Standard Smartwatch,Budget,1699,4500,2801,62.0,102.15,5.0,0,0,1,0,0,0,1,2026-01-16,1.0
T900 Pro Max L Smart Watch Series 9,Generic,Standard Smartwatch,Budget,1399,3500,2101,60.0,90.04,3.0,0,0,1,0,0,0,1,2026-01-16,1.0
Ws02 Ultra 2 Smart Watch with 7 straps,Generic,Standard Smartwatch,Budget,1849,3900,2051,53.0,58.76,0.0,0,0,7,0,0,0,0,2026-01-16,1.0
Ws05 Ultra 2 Smart Watch With 7 Straps,Generic,Standard Smartwatch,Budget,1849,3900,2051,53.0,58.76,0.0,0,0,7,0,0,0,1,2026-01-16,1.0
Airox W2 Smart Calling Watch,Generic,Standard Smartwatch,Premium,6499,9999,3500,35.0,18.85,5.0,0,0,1,1,0,0,1,2026-01-16,1.0
I60 Suit Extreme 12in2 Two Dials With Earbuds,I60,Smartwatch + Accessories,Mid-Range,4999,10000,5001,50.0,50.01,0.0,0,0,1,0,0,0,1,2026-01-16,1.0
A59 Plus Luxury Smart Watch,Generic,Luxury Smartwatch,Mid-Range,2349,7000,4651,66.0,130.62,4.8,0,0,1,0,0,0,1,2026-01-16,1.0
TF16 PRO Rough Sport With Flash Light Smart Watch,Generic,Sport/Outdoor Watch,Mid-Range,2699,6000,3301,55.0,67.24,0.0,0,0,1,0,0,0,1,2026-01-16,1.0
Pro 9 max 2 in 1 Double Straps Smart Watch,Generic,Smartwatch + Accessories,Mid-Range,2799,7000,4201,60.0,90.02,0.0,0,0,2,0,0,0,0,2026-01-16,1.0
GT10 Round Dial Smart Watch 8 in 1 Straps,Generic,Standard Smartwatch,Mid-Range,2599,5500,2901,53.0,59.14,0.0,0,0,8,0,0,0,1,2026-01-16,1.0
Redmi Watch 5 Lite,Xiaomi,Standard Smartwatch,Premium,11699,15999,4300,27.0,9.92,4.8,0,0,1,0,0,0,1,2026-01-16,1.0
MT17S Rough Shock Sport Outdoor Smart Watch,Generic,Sport/Outdoor Watch,Premium,6299,12000,5701,48.0,43.44,0.0,0,0,1,0,0,0,0,2026-01-16,1.0
Xiaomi Smart Band 9 Active,Xiaomi,Fitness Band,Premium,6499,11999,5500,46.0,38.92,4.8,0,0,1,0,0,0,1,2026-01-16,1.0
Zero Crown Smartwatch,Zero,Standard Smartwatch,Premium,11999,29999,18000,60.0,90.0,4.8,0,0,1,0,0,0,1,2026-01-16,1.0
HiFuture Ultra 2 Pro Calling Smartwatch,Generic,Standard Smartwatch,Premium,13199,18000,4801,27.0,9.82,0.0,0,0,1,1,0,0,1,2026-01-16,1.0
HiFuture FutureGo Mix2 Rugged Calling Smartwatch,Generic,Sport/Outdoor Watch,Luxury,19499,25000,5501,22.0,6.21,0.0,0,0,1,1,0,0,1,2026-01-16,1.0
HiFuture Aura Genius Lady Smart Watch,Generic,Standard Smartwatch,Luxury,15599,21000,5401,26.0,9.0,0.0,0,0,1,0,0,0,0,2026-01-16,1.0
HiFuture Ultra3 Pro Smart Watch,Generic,Standard Smartwatch,Luxury,23299,25000,1701,7.0,0.51,0.0,0,0,1,0,0,0,0,2026-01-16,1.0
I70 Suit 9 in 1 Combination Smart Watch,Generic,Smartwatch + Accessories,Mid-Range,4799,8000,3201,40.0,26.68,5.0,0,0,9,0,0,0,1,2026-01-16,1.0
H9 Pro Max Smart Watch,Generic,Standard Smartwatch,Budget,1799,3000,1201,40.0,26.69,5.0,0,0,1,0,0,0,1,2026-01-16,1.0
S9 Max Ultra Smart Watch,Generic,Standard Smartwatch,Budget,1999,3000,1001,33.0,16.52,0.0,0,0,1,0,0,0,1,2026-01-16,1.0
ACE-280 Extreme Suite Dual Dials And Dual Earbuds Smart Watch,Generic,Smartwatch + Accessories,Premium,6799,10000,3201,32.0,15.06,0.0,0,0,1,0,0,0,0,2026-01-16,1.0
GS Series 10 AMOLED Smart Watch,Generic,Standard Smartwatch,Mid-Range,4499,9000,4501,50.0,50.01,0.0,0,0,1,0,1,0,1,2026-01-16,1.0
ZERO Jaguar Smart Watch,Zero,Standard Smartwatch,Premium,6999,22999,16000,70.0,160.0,5.0,0,0,1,0,0,0,1,2026-01-16,1.0
SR10 Series 10 Apple Logo Smart Watch,Apple,Standard Smartwatch,Mid-Range,2399,6000,3601,60.0,90.02,0.0,0,0,1,0,0,0,1,2026-01-16,1.0
HD9 Pro Amoled Screen Smart Watch,Generic,Standard Smartwatch,Mid-Range,4299,7000,2701,39.0,24.5,0.0,0,0,1,0,1,0,1,2026-01-16,1.0
Blaktron Storm S1 Smart Watch,Generic,Standard Smartwatch,Mid-Range,3699,9999,6300,63.0,107.27,0.0,0,0,1,0,0,0,1,2026-01-16,1.0
Blaktron Storm S2 Smart Watch,Generic,Standard Smartwatch,Premium,5799,9999,4200,42.0,30.41,0.0,0,0,1,0,0,0,0,2026-01-16,1.0
S7 Ultra Smart Watch,Generic,Standard Smartwatch,Budget,1899,4000,2101,53.0,58.61,5.0,0,0,1,0,0,0,1,2026-01-16,1.0
